Brand,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Price,Price_Hashed,Price_Encripted,RAM_Size_Encrypted
Asus,3.830295706209031,16,512,11.185147425848434,2.6410944247109853,17395.093064560457,e33562234b73b4ecad16901885fd503f2c4c20996e22d914da21be26f8b6a6d9,gAAAAABn0yoBIJ9V3A3JN9kpN0bnJg0-y5_QV8wycdCWcd6NN3WVdXmUKopXeuReqUNfQvQYdfxs-eOL6p2_0a4bjBzCl5nBY0Tu1N4e3LDJNU87YUM5M40=,gAAAAABn0yoBtNwuhlT6sowq5euqaPHQdJ9S4sgLppWsTTmSXhckL5U0YjEU42f_9vEb23wZ0b9zcSHFBcoBR6y4mdi-k3Q2FA==
Acer,2.912832958973022,4,1000,11.311371797110466,3.2600122222442147,31607.60591926617,80fe437d4a9c57c4038198b7cf32f93b9f957bb705b8e10a7d481662d5c79829,gAAAAABn0yoBSQB7MgPVRvuy-d194L-XkwFScWUNDpRvsSoU0F23iLAY9xx2HfHjZ4OVYssV-lAS-yY7ToFBHwB8i8jaQCAw-ktduJYvxrs81-Z6lOnePIA=,gAAAAABn0yoBf6SIxKvHoyk1JrOwRep7G7R40ZTBsIL3eSTjD65mds2NHwbw2tJVTWlWf3sdGUjIIJmmSH2crSTgQ2oz54yFdg==
Lenovo,3.2416270596922305,4,256,11.853022680223374,2.029060648222903,9291.023542338657,6254a5a18d60d796eb464283ef38f9417e12885a07742e2e9b9d09e24b6f772b,gAAAAABn0yoBiyB_9I2UDRniQrcKjNEiunSflPI3lF7-zywvVMnwiFzzC3bOtt2ywsSF6W-iJl3cE9koNb41fu3G4B9jhQIyORzgsVEZUGGIZxDzKOca1U8=,gAAAAABn0yoB0S9vjCm3mkAr7rqncUZnpO989e02h1KzEDcxgVS6LiANftwP1fpZ_p50TdkSU3lF0YB45aYEa6t7xZ2sBiOvPw==
Acer,3.80624845294324,16,512,12.280360087854138,4.573865272745172,17436.72833420527,1f2910923c33a53b30bc7e6eb731307eb2e2366b3811b68769aaeafb80458375,gAAAAABn0yoBqni0pH0YbmREKWh14zuzY2UC8VYqpx76OFgnYtKf0AecSVcvASs3kAIPQ52JEgsGl49kmDeEM5Ml1peTWt-H31OT9QO_y2D9gT_MFCzP_1Y=,gAAAAABn0yoBpq7cpQ9g8tjSV8nGvg9WAxXgvEPXiL0T5aLfypQM-tcRRSZ8OaJ0VFNueitOTlr74PTKONlsqdqpWxe3L_FDPw==
Acer,3.2680965857834963,32,1000,14.990877165430431,4.193472033364752,32917.990718167515,f90738a55c90c1e31a4fb6d35f92306ff03a87001a9408b5a82a9083bcc18417,gAAAAABn0yoBgCDJvcv5aEvgfZwAP2omK22ZNG-hN-l9BnyCkk8uvwmW4j1aZzgc3MMB5h4kbkMRueK58Vf6-dbuoQ36wythibfSlBagL_n6xpVMwd8FGMo=,gAAAAABn0yoBwq71wnacTPYZ_IZnDPhbNqXUvoprNqbO7aa73VtK_D7kVkQKMIBNzyETUUdYWwydRiNR9j6rTr6bBhbrz4ssDA==
HP,1.8813476072856532,16,256,11.94395768001097,4.84026810552111,9543.719980129945,152ff98902e83cca39225afe41781193058d58e2821954fd6dc48939e53a6335,gAAAAABn0yoBzYWkkarPH4a9IMS4NvIL1zwnyzfsyNIhNwN5eo8S2f6o05YRURWx5KrA_xBmMKjomuaQ5sFnlQZ6J_btWi2gKLQ9Dgt2ue-4tI_pqPS5OOc=,gAAAAABn0yoB1KaHybiQHGhXsr2HYQJRy4_a80aDdWOYDhGHNojUnQTyNPQdh1vajXflMcuhDkzp-De6RP-DUXAqJ3NQX_LZZw==
Lenovo,2.940720900417033,32,256,11.713246347062432,4.344846437589197,10390.13731921554,90d3e3d05c2cf26f052a507df2d7af7733f4784154877c484f593724ba56eb56,gAAAAABn0yoBmonQW50XWGVLgdnTUw5nE5r_VODxYzWKnUljNTJRl-3WZtrln0n3YlNUBoR1In20H4XGlSFquXtYMeggJ8MtmAcwi5T5yPmjQLeLjsZgfBQ=,gAAAAABn0yoByANRYhmldYIUJLH3856iX6mUI7oBbxt9cCr0mAc3mDUIek192C6hTR-qzw8dsycAN6H7FrGMSdJkNW5_oJLuSw==
Lenovo,3.01678761595714,4,256,15.588314848857674,2.9411195361561955,9214.484505999935,981559f507d2055d3f2ff381b07fab0a3af19f070280bb2faa716381c4b55c39,gAAAAABn0yoBja8paM8LYkLskdc7wOFIpGtMBIHSYmYnP6Jwq08L8cmBqjyLr31YXhDVYlt9b_P38jIGpdy04BpW3zUlatr4xBu9m6N8h3tRhj6u2W595w4=,gAAAAABn0yoBgRjFVQPJa12WxYY4Ogx8jG-i_2Qn5kaDyoGc6R6RSs-viybQISKw5U1U_WwPBO7HIRJw8TPVhOpmemZqPeq6Cw==
Lenovo,2.560326678255965,4,512,15.026331703159489,2.743620076185271,16372.175283874409,9d1993a7420329974c5b60f45bcc22a92da4598d58acb160db849eda7abb194c,gAAAAABn0yoB4NUioVbeI7p7EMqoJ9nalMTZqgjNu6PtDzsPnH5SLRIghWfPht8PXrgr5cAfViQ76H46MQwesmNTRpAwdDAHHYUnRqPbzHAw4_9Pe3mSGLA=,gAAAAABn0yoBoaXuK3wsIXWGTDLgLb4_EK8E2DEGg8xts0_s830_zz84HwhPr9r6vtGGQn_83pn8aDMBJImWsDMw15VzJaeetQ==
Acer,3.341110589061807,32,512,13.611945328731418,4.093148922659879,18501.83273321414,1ab75c9a76df5af1a9800bc1c2394bff5334234916f1049bd6f4ad86830d3d51,gAAAAABn0yoBgjtjkqkihYsmvFZdZE3piQMGHnht0XsgunUayfyk2R7S-SuyngdbnfgJ8D6Do0hwxm0qY6SOcowIeqkV3RN7rVYCTr5-HI8MODFIUNZOa0M=,gAAAAABn0yoBln7CfbYlf3SX-std_hVHsX4pqr3WvgVcYZWucspvlLP0zoSAwmaLuFXnAP7vljMtVudiOzhYVW95oTWy24Td3Q==
